ID,Data,Sexo,Idade,Horário,CAUSA DA MORTE,Local,Latitude,Longitude,Município,Classificação
116,12/02/2017,masculino,38,05:52:00,ARMA BRANCA,Vila Operária,"-2,560421","-44,184115",São José de Ribamar,HOMICÍDIO DOLOSO
117,13/02/2017,masculino,34,20:16:00,ARMA DE FOGO,Residencial Luís Fernando,"-2,545197","-44,157035",Paço do Lumiar,HOMICÍDIO DOLOSO
118,14/02/2017,masculino,23,20:22:00,ARMA DE FOGO,Cruzeiro do Anil,"-2,540185","-44,230099",São Luís,HOMICÍDIO DOLOSO
119,14/02/2017,masculino,56,07:36:00,ARMA DE FOGO,J. Câmara,"-2,544944","-44,068007",São José de Ribamar,HOMICÍDIO DOLOSO
120,14/02/2017,masculino,30,19:15:00,ARMA DE FOGO,Vila Sarney Filho II,"-2,567881","-44,165082",São José de Ribamar,HOMICÍDIO DOLOSO
121,15/02/2017,masculino,23,09:43:00,ARMA DE FOGO,Vila União,"-2,511352","-44,232996",São Luís,HOMICÍDIO DOLOSO
122,16/02/2017,masculino,30,05:24:00,ARMA DE FOGO,Maiobão,"-2,541257","-44,171391",Paço do Lumiar,HOMICÍDIO DOLOSO
123,17/02/2017,masculino,16,18:01:00,ARMA DE FOGO,Residencial 2000,"-2,649507","-44,271212",São Luís,HOMICÍDIO DOLOSO
124,17/02/2017,masculino,30,09:38:00,ARMA BRANCA,São Bernardo,"-2,561214","-44,221838",São Luís,HOMICÍDIO DOLOSO
125,18/02/2017,masculino,29,20:40:00,ARMA DE FOGO,Cohama,"-2,514675","-44,244518",São Luís,HOMICÍDIO DOLOSO
126,18/02/2017,masculino,16,19:29:00,ARMA DE FOGO,Santa Efigênia,"-2,575169","-44,189072",São Luís,HOMICÍDIO DOLOSO
127,19/02/2017,masculino,20,13:03:00,ARMA DE FOGO,Apeadouro,"-2,539531","-44,276555",São Luís,HOMICÍDIO DOLOSO
128,20/02/2017,masculino,17,23:27:00,ARMA DE FOGO,Vila Industrial,"-2,625221","-44,268723",São Luís,HOMICÍDIO DOLOSO
129,20/02/2017,feminino,17,20:40:00,ARMA DE FOGO,Vila Luizão,"-2,489208","-44,211817",São Luís,HOMICÍDIO DOLOSO
130,21/02/2017,masculino,25,21:11:00,ARMA DE FOGO,São Raimundo,"-2,596433","-44,231129",São Luís,HOMICÍDIO DOLOSO
131,22/02/2017,masculino,25,21:11:00,ARMA DE FOGO,São Raimundo,"-2,596433","-44,231129",São Luís,HOMICÍDIO DOLOSO
132,22/02/2017,masculino,18,21:11:00,ARMA DE FOGO,São Raimundo,"-2,596433","-44,231129",São Luís,HOMICÍDIO DOLOSO
133,22/02/2017,masculino,31,03:49:00,ARMA DE FOGO,Sítio do Apicum,"-2,543415","-44,058828",São José de Ribamar,LATROCÍNIO
